fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status
10001;10002;0.00042;0.00891;0.00012;342.95;342.95;342.95;0;0;1
10002;20001;0.00083;0.01782;0.00025;342.95;342.95;342.95;0;0;1
20001;20002;0.0025;0.05347;0.00075;342.95;342.95;342.95;0;0;1
20002;30001;0.00083;0.01782;0.00025;342.95;342.95;342.95;0;0;1
20002;30002;0.0007;0.02;0;600;600;600;1;0;1
20001;20007;0.00417;0.08911;0.00124;342.95;342.95;342.95;0;0;1
20001;20008;0.0021;0.06;0;200;200;200;1;0;1
20001;20009;0.00108;0.02297;0.00483;675.5;675.5;675.5;0;0;1
20001;20003;0.0021;0.06;0;200;200;200;1;0;1
20003;20004;0.01893;0.09231;0.01996;187.34;187.34;187.34;0;0;1
20004;30003;0.00947;0.04615;0.00998;187.34;187.34;187.34;0;0;1
20004;30004;0.0021;0.06;0;200;200;200;1;0;1
20004;30005;0.00083;0.01782;0.00025;342.95;342.95;342.95;0;0;1
20004;30006;0.00417;0.08911;0.00124;342.95;342.95;342.95;0;0;1
20004;30007;0.0025;0.05347;0.00075;342.95;342.95;342.95;0;0;1
20004;30008;0.00167;0.03565;0.0005;342.95;342.95;342.95;0;0;1
20004;30009;0.0021;0.06;0;400;200;200;1;0;1
20004;30010;0.0284;0.13846;0.02994;187.34;187.34;187.34;0;0;1
20004;30011;0.03314;0.16154;0.03494;187.34;187.34;187.34;0;0;1
20004;30012;0.0021;0.06;0;200;200;200;1;0;1
20004;30013;0.0021;0.06;0;200;200;200;1;0;1
20004;30014;0.00417;0.08911;0.00124;342.95;342.95;342.95;0;0;1
20004;30015;0.00042;0.00891;0.00012;342.95;342.95;342.95;0;0;1
20004;30016;0.00125;0.02673;0.00037;342.95;342.95;342.95;0;0;1
20004;30017;0.00042;0.00891;0.00012;342.9;342.9;342.9;0;0;1
20004;30018;0.00083;0.01782;0.00025;342.95;342.95;342.95;0;0;1
20004;30019;0.00167;0.03565;0.0005;342.95;342.95;342.95;0;0;1
20004;30020;0.00042;0.00891;0.00012;342.95;342.95;342.95;0;0;1
20004;30021;0.00042;0.00891;0.00012;342.95;342.95;342.95;0;0;1
20004;30022;0.0021;0.06;0;200;200;200;1;0;1
20004;30023;0.0021;0.06;0;200;200;200;1;0;1
20004;30024;0.0021;0.06;0;200;200;200;1;0;1
20004;30025;0.0021;0.06;0;200;200;200;1;0;1
20004;30026;0.0021;0.06;0;200;200;200;1;0;1
20004;30027;0.0021;0.06;0;200;200;200;1;0;1
20004;30028;0.0021;0.06;0;200;200;200;1;0;1
20004;30029;0.0021;0.06;0;200;200;200;1;0;1
20004;30030;0.0021;0.06;0;200;200;200;1;0;1
20004;30031;0.0021;0.06;0;200;200;200;1;0;1
20004;30032;0.0021;0.06;0;200;200;200;1;0;1
20004;30033;0.0021;0.06;0;200;200;200;1;0;1
20003;20005;0.0021;0.06;0;200;200;200;1;0;1
20005;20006;0.0021;0.06;0;200;200;200;1;0;1
20006;30034;0.0021;0.06;0;200;200;200;1;0;1
20006;30035;0.0021;0.06;0;200;200;200;1;0;1
20006;30036;0.0021;0.06;0;200;200;200;1;0;1
