ID;Time [h];Load [MW]
R1S66T5;1;10,02151776
R1S66T5;2;10,04303551
R1S66T5;3;10,06455326
R1S66T5;4;10,086071
R1S66T5;5;10,10758873
R1S66T5;6;10,12910645
R1S66T5;7;10,15062415
R1S66T5;8;10,17214183
R1S66T5;9;10,19365948
R1S66T5;10;10,21517712
R1S66T5;11;10,23669472
R1S66T5;12;10,2582123
R1S66T5;13;10,27972984
R1S66T5;14;10,30124734
R1S66T5;15;10,32276481
R1S66T5;16;10,34428224
R1S66T5;17;10,36579962
R1S66T5;18;10,38731695
R1S66T5;19;10,40883424
R1S66T5;20;10,43035147
R1S66T5;21;10,45186864
R1S66T5;22;10,47338576
R1S66T5;23;10,49490282
R1S66T5;24;10,51641981
R1S66T5;25;10,53793674
R1S66T5;26;10,5594536
R1S66T5;27;10,58097038
R1S66T5;28;10,6024871
R1S66T5;29;10,62400373
R1S66T5;30;10,64552028
R1S66T5;31;10,66703675
R1S66T5;32;10,68855314
R1S66T5;33;10,71006943
R1S66T5;34;10,73158564
R1S66T5;35;10,75310175
R1S66T5;36;10,77461776
R1S66T5;37;10,79613368
R1S66T5;38;10,81764949
R1S66T5;39;10,8391652
R1S66T5;40;10,8606808
R1S66T5;41;10,88219628
R1S66T5;42;10,90371166
R1S66T5;43;10,92522692
R1S66T5;44;10,94674206
R1S66T5;45;10,96825707
R1S66T5;46;10,98977197
R1S66T5;47;11,01128673
R1S66T5;48;11,03280137
R1S66T5;49;11,05431587
R1S66T5;50;11,07583024
R1S66T5;51;11,09734447
R1S66T5;52;11,11885856
R1S66T5;53;11,1403725
R1S66T5;54;11,1618863
R1S66T5;55;11,18339995
R1S66T5;56;11,20491344
R1S66T5;57;11,22642678
R1S66T5;58;11,24793996
R1S66T5;59;11,26945299
R1S66T5;60;11,29096585
R1S66T5;61;11,31247854
R1S66T5;62;11,33399106
R1S66T5;63;11,35550342
R1S66T5;64;11,37701559
R1S66T5;65;11,3985276
R1S66T5;66;11,42003942
R1S66T5;67;11,44155106
R1S66T5;68;11,46306251
R1S66T5;69;11,48457377
R1S66T5;70;11,50608485
R1S66T5;71;11,52759573
R1S66T5;72;11,54910641
R1S66T5;73;11,5706169
R1S66T5;74;11,59212718
R1S66T5;75;11,61363726
R1S66T5;76;11,63514713
R1S66T5;77;11,65665679
R1S66T5;78;11,67816624
R1S66T5;79;11,69967547
R1S66T5;80;11,72118448
R1S66T5;81;11,74269327
R1S66T5;82;11,76420184
R1S66T5;83;11,78571018
R1S66T5;84;11,80721829
R1S66T5;85;11,82872617
R1S66T5;86;11,85023381
R1S66T5;87;11,87174122
R1S66T5;88;11,89324838
R1S66T5;89;11,9147553
R1S66T5;90;11,93626198
R1S66T5;91;11,9577684
R1S66T5;92;11,97927458
R1S66T5;93;12,0007805
R1S66T5;94;12,02228616
R1S66T5;95;12,04379156
R1S66T5;96;12,0652967
R1S66T5;97;12,08680157
R1S66T5;98;12,10830618
R1S66T5;99;12,12981051
R1S66T5;100;12,15131457
R1S66T5;101;12,17281835
R1S66T5;102;12,19432186
R1S66T5;103;12,21582508
R1S66T5;104;12,23732801
R1S66T5;105;12,25883066
R1S66T5;106;12,28033302
R1S66T5;107;12,30183508
R1S66T5;108;12,32333685
R1S66T5;109;12,34483832
R1S66T5;110;12,36633949
R1S66T5;111;12,38784036
R1S66T5;112;12,40934091
R1S66T5;113;12,43084116
R1S66T5;114;12,45234109
R1S66T5;115;12,47384071
R1S66T5;116;12,49534001
R1S66T5;117;12,51683899
R1S66T5;118;12,53833765
R1S66T5;119;12,55983598
R1S66T5;120;12,58133398
R1S66T5;121;12,60283165
R1S66T5;122;12,62432898
R1S66T5;123;12,64582598
R1S66T5;124;12,66732263
R1S66T5;125;12,68881895
R1S66T5;126;12,71031491
R1S66T5;127;12,73181053
R1S66T5;128;12,7533058
R1S66T5;129;12,77480071
R1S66T5;130;12,79629527
R1S66T5;131;12,81778947
R1S66T5;132;12,8392833
R1S66T5;133;12,86077677
R1S66T5;134;12,88226987
R1S66T5;135;12,9037626
R1S66T5;136;12,92525496
R1S66T5;137;12,94674694
R1S66T5;138;12,96823854
R1S66T5;139;12,98972976
R1S66T5;140;13,01122059
R1S66T5;141;13,03271104
R1S66T5;142;13,0542011
R1S66T5;143;13,07569076
R1S66T5;144;13,09718003
R1S66T5;145;13,1186689
R1S66T5;146;13,14015737
R1S66T5;147;13,16164544
R1S66T5;148;13,1831331
R1S66T5;149;13,20462035
R1S66T5;150;13,22610719
R1S66T5;151;13,24759361
R1S66T5;152;13,26907962
R1S66T5;153;13,2905652
R1S66T5;154;13,31205036
R1S66T5;155;13,3335351
R1S66T5;156;13,35501941
R1S66T5;157;13,37650328
R1S66T5;158;13,39798672
R1S66T5;159;13,41946973
R1S66T5;160;13,44095229
R1S66T5;161;13,46243441
R1S66T5;162;13,48391609
R1S66T5;163;13,50539732
R1S66T5;164;13,5268781
R1S66T5;165;13,54835842
R1S66T5;166;13,56983829
R1S66T5;167;13,5913177
R1S66T5;168;13,61279664
R1S66T5;169;13,63427512
R1S66T5;170;13,65575314
R1S66T5;171;13,67723068
R1S66T5;172;13,69870775
R1S66T5;173;13,72018435
R1S66T5;174;13,74166047
R1S66T5;175;13,7631361
R1S66T5;176;13,78461125
R1S66T5;177;13,80608592
R1S66T5;178;13,8275601
R1S66T5;179;13,84903378
R1S66T5;180;13,87050697
R1S66T5;181;13,89197966
R1S66T5;182;13,91345185
R1S66T5;183;13,93492353
R1S66T5;184;13,95639471
R1S66T5;185;13,97786539
R1S66T5;186;13,99933555
R1S66T5;187;14,02080519
R1S66T5;188;14,04227432
R1S66T5;189;14,06374293
R1S66T5;190;14,08521102
R1S66T5;191;14,10667858
R1S66T5;192;14,12814561
R1S66T5;193;14,14961211
R1S66T5;194;14,17107808
R1S66T5;195;14,19254351
R1S66T5;196;14,2140084
R1S66T5;197;14,23547275
R1S66T5;198;14,25693656
R1S66T5;199;14,27839981
R1S66T5;200;14,29986252
R1S66T5;201;14,32132468
R1S66T5;202;14,34278627
R1S66T5;203;14,36424731
R1S66T5;204;14,38570779
R1S66T5;205;14,40716771
R1S66T5;206;14,42862706
R1S66T5;207;14,45008584
R1S66T5;208;14,47154404
R1S66T5;209;14,49300167
R1S66T5;210;14,51445873
R1S66T5;211;14,5359152
R1S66T5;212;14,55737109
R1S66T5;213;14,57882639
R1S66T5;214;14,6002811
R1S66T5;215;14,62173523
R1S66T5;216;14,64318875
R1S66T5;217;14,66464168
R1S66T5;218;14,68609402
R1S66T5;219;14,70754574
R1S66T5;220;14,72899687
R1S66T5;221;14,75044738
R1S66T5;222;14,77189728
R1S66T5;223;14,79334657
R1S66T5;224;14,81479525
R1S66T5;225;14,8362433
R1S66T5;226;14,85769073
R1S66T5;227;14,87913754
R1S66T5;228;14,90058372
R1S66T5;229;14,92202927
R1S66T5;230;14,94347419
R1S66T5;231;14,96491847
R1S66T5;232;14,98636211
R1S66T5;233;15,00780511
R1S66T5;234;15,02924747
R1S66T5;235;15,05068917
R1S66T5;236;15,07213023
R1S66T5;237;15,09357064
R1S66T5;238;15,1150104
R1S66T5;239;15,13644949
R1S66T5;240;15,15788792
R1S66T5;241;15,1793257
R1S66T5;242;15,2007628
R1S66T5;243;15,22219924
R1S66T5;244;15,243635
R1S66T5;245;15,26507009
R1S66T5;246;15,2865045
R1S66T5;247;15,30793823
R1S66T5;248;15,32937128
R1S66T5;249;15,35080365
R1S66T5;250;15,37223532
R1S66T5;251;15,39366631
R1S66T5;252;15,4150966
R1S66T5;253;15,4365262
R1S66T5;254;15,45795509
R1S66T5;255;15,47938329
R1S66T5;256;15,50081078
R1S66T5;257;15,52223756
R1S66T5;258;15,54366363
R1S66T5;259;15,56508899
R1S66T5;260;15,58651363
R1S66T5;261;15,60793755
R1S66T5;262;15,62936076
R1S66T5;263;15,65078324
R1S66T5;264;15,67220499
R1S66T5;265;15,69362601
R1S66T5;266;15,7150463
R1S66T5;267;15,73646586
R1S66T5;268;15,75788467
R1S66T5;269;15,77930275
R1S66T5;270;15,80072009
R1S66T5;271;15,82213667
R1S66T5;272;15,84355251
R1S66T5;273;15,8649676
R1S66T5;274;15,88638193
R1S66T5;275;15,90779551
R1S66T5;276;15,92920832
R1S66T5;277;15,95062038
R1S66T5;278;15,97203167
R1S66T5;279;15,99344219
R1S66T5;280;16,01485193
R1S66T5;281;16,03626091
R1S66T5;282;16,05766911
R1S66T5;283;16,07907653
R1S66T5;284;16,10048317
R1S66T5;285;16,12188902
R1S66T5;286;16,14329409
R1S66T5;287;16,16469836
R1S66T5;288;16,18610185
R1S66T5;289;16,20750453
R1S66T5;290;16,22890642
R1S66T5;291;16,25030751
R1S66T5;292;16,2717078
R1S66T5;293;16,29310727
R1S66T5;294;16,31450594
R1S66T5;295;16,3359038
R1S66T5;296;16,35730084
R1S66T5;297;16,37869706
R1S66T5;298;16,40009247
R1S66T5;299;16,42148705
R1S66T5;300;16,4428808
R1S66T5;301;16,46427373
R1S66T5;302;16,48566582
R1S66T5;303;16,50705708
R1S66T5;304;16,5284475
R1S66T5;305;16,54983709
R1S66T5;306;16,57122583
R1S66T5;307;16,59261372
R1S66T5;308;16,61400077
R1S66T5;309;16,63538697
R1S66T5;310;16,65677231
R1S66T5;311;16,6781568
R1S66T5;312;16,69954043
R1S66T5;313;16,72092319
R1S66T5;314;16,7423051
R1S66T5;315;16,76368613
R1S66T5;316;16,7850663
R1S66T5;317;16,80644559
R1S66T5;318;16,82782401
R1S66T5;319;16,84920155
R1S66T5;320;16,87057821
R1S66T5;321;16,89195398
R1S66T5;322;16,91332887
R1S66T5;323;16,93470287
R1S66T5;324;16,95607598
R1S66T5;325;16,97744819
R1S66T5;326;16,9988195
R1S66T5;327;17,02018992
R1S66T5;328;17,04155943
R1S66T5;329;17,06292804
R1S66T5;330;17,08429574
R1S66T5;331;17,10566252
R1S66T5;332;17,1270284
R1S66T5;333;17,14839335
R1S66T5;334;17,16975739
R1S66T5;335;17,1911205
R1S66T5;336;17,21248269
R1S66T5;337;17,23384396
R1S66T5;338;17,25520429
R1S66T5;339;17,27656369
R1S66T5;340;17,29792215
R1S66T5;341;17,31927967
R1S66T5;342;17,34063626
R1S66T5;343;17,3619919
R1S66T5;344;17,38334659
R1S66T5;345;17,40470033
R1S66T5;346;17,42605312
R1S66T5;347;17,44740496
R1S66T5;348;17,46875583
R1S66T5;349;17,49010575
R1S66T5;350;17,5114547
R1S66T5;351;17,53280269
R1S66T5;352;17,55414971
R1S66T5;353;17,57549576
R1S66T5;354;17,59684083
R1S66T5;355;17,61818492
R1S66T5;356;17,63952804
R1S66T5;357;17,66087017
R1S66T5;358;17,68221132
R1S66T5;359;17,70355148
R1S66T5;360;17,72489065
R1S66T5;361;17,74622882
R1S66T5;362;17,767566
R1S66T5;363;17,78890218
R1S66T5;364;17,81023736
R1S66T5;365;17,83157153
R1S66T5;366;17,8529047
R1S66T5;367;17,87423686
R1S66T5;368;17,895568
R1S66T5;369;17,91689813
R1S66T5;370;17,93822724
R1S66T5;371;17,95955533
R1S66T5;372;17,98088239
R1S66T5;373;18,00220843
R1S66T5;374;18,02353344
R1S66T5;375;18,04485742
R1S66T5;376;18,06618036
R1S66T5;377;18,08750227
R1S66T5;378;18,10882313
R1S66T5;379;18,13014295
R1S66T5;380;18,15146173
